model,role,case_count,ndcg_at_5,ndcg_at_10,top1_agreement,top3_overlap,recall_at_5,recall_at_10,top10_jaccard,predicted_top1_teacher_rank,execution_seconds,baseline_version
DeterministicBaseline,mdt,180,0.2338954784317731,0.2647291869982036,0.0444444444444444,0.0981481481481481,0.1188888888888889,0.1616666666666666,0.1004960448716898,18.377777777777776,4.596065700054169,V1
DeterministicBaseline,ost,180,0.3186823677500804,0.3844362767152851,0.15,0.1833333333333333,0.2611111111111111,0.3888888888888889,0.2647852319678945,31.444444444444443,3.612327300012112,V1
DeterministicBaselineV2,mdt,180,0.2625701549333726,0.3437475253324422,0.0611111111111111,0.1129629629629629,0.1477777777777777,0.2588888888888889,0.1662204047910962,20.266666666666666,5.518693200079724,V2
DeterministicBaselineV2,ost,180,0.6635560214257854,0.6893673960765266,0.4277777777777777,0.5203703703703704,0.5788888888888889,0.6622222222222223,0.5434839464896224,13.694444444444445,3.789251099806279,V2
DeterministicBaselineV2.1,mdt,180,0.22932767164305004,0.2950208098660073,0.06666666666666667,0.09259259259259257,0.12333333333333332,0.19944444444444448,0.12622339009077915,29.372222222222224,4.895483499858528,V2.1
DeterministicBaselineV2.1,ost,180,0.6635560214257854,0.6893673960765266,0.42777777777777776,0.5203703703703704,0.5788888888888889,0.6622222222222223,0.5434839464896224,13.694444444444445,3.83123160013929,V2.1
