model,role,case_count,ndcg_at_5,ndcg_at_10,top1_agreement,top3_overlap,recall_at_5,recall_at_10,top10_jaccard,predicted_top1_teacher_rank,execution_seconds
DeterministicBaseline,mdt,180,0.2338954784317731,0.26472918699820364,0.044444444444444446,0.09814814814814814,0.1188888888888889,0.16166666666666668,0.10049604487168987,18.377777777777776,4.596065700054169
DeterministicBaseline,ost,180,0.3186823677500804,0.3844362767152851,0.15,0.18333333333333332,0.2611111111111111,0.3888888888888889,0.2647852319678945,31.444444444444443,3.6123273000121117
