threshold,margin_threshold,model_accepted_count,model_accepted_correct,model_coverage,model_accepted_precision,model_risk,model_unresolved_recall,model_final_pair_accuracy,production_accepted_count,production_accepted_correct,production_coverage,production_accepted_precision,production_risk,production_unresolved_recall,production_final_pair_accuracy
0.6,0.05,404,357,0.8977777777777778,0.8836633663366337,0.11633663366336633,0.9210526315789473,0.8711111111111111,398,351,0.8844444444444445,0.8819095477386935,0.11809045226130654,0.9210526315789473,0.8577777777777778
0.7,0.05,394,352,0.8755555555555555,0.8934010152284264,0.10659898477157359,0.9210526315789473,0.86,390,348,0.8666666666666667,0.8923076923076924,0.10769230769230764,0.9210526315789473,0.8511111111111112
0.8,0.05,384,343,0.8533333333333334,0.8932291666666666,0.10677083333333337,0.9210526315789473,0.84,380,339,0.8444444444444444,0.8921052631578947,0.10789473684210527,0.9210526315789473,0.8311111111111111
0.85,0.05,371,332,0.8244444444444444,0.894878706199461,0.10512129380053903,0.9210526315789473,0.8155555555555556,367,328,0.8155555555555556,0.8937329700272479,0.10626702997275206,0.9210526315789473,0.8066666666666666
0.9,0.05,326,287,0.7244444444444444,0.8803680981595092,0.11963190184049077,0.9210526315789473,0.7155555555555555,322,283,0.7155555555555555,0.8788819875776398,0.1211180124223602,0.9210526315789473,0.7066666666666667
0.95,0.05,203,170,0.45111111111111113,0.8374384236453202,0.16256157635467983,0.9210526315789473,0.45555555555555555,199,166,0.44222222222222224,0.8341708542713567,0.16582914572864327,0.9210526315789473,0.44666666666666666
0.966,0.05,127,112,0.2822222222222222,0.8818897637795275,0.11811023622047245,0.9210526315789473,0.32666666666666666,123,108,0.2733333333333333,0.8780487804878049,0.12195121951219512,0.9210526315789473,0.31777777777777777
