threshold,margin_threshold,model_accepted_count,model_accepted_correct,model_coverage,model_accepted_precision,model_risk,model_unresolved_recall,model_final_pair_accuracy,production_accepted_count,production_accepted_correct,production_coverage,production_accepted_precision,production_risk,production_unresolved_recall,production_final_pair_accuracy
0.6,0.0,407,389,0.9044444444444445,0.9557739557739557,0.04422604422604426,1.0,0.9488888888888889,401,383,0.8911111111111111,0.9551122194513716,0.04488778054862841,1.0,0.9355555555555556
0.7,0.0,405,389,0.9,0.9604938271604938,0.03950617283950619,1.0,0.9488888888888889,399,383,0.8866666666666667,0.9598997493734336,0.040100250626566414,1.0,0.9355555555555556
0.8,0.0,400,388,0.8888888888888888,0.97,0.030000000000000027,1.0,0.9466666666666667,394,382,0.8755555555555555,0.9695431472081218,0.030456852791878153,1.0,0.9333333333333333
0.85,0.0,398,387,0.8844444444444445,0.9723618090452262,0.027638190954773822,1.0,0.9444444444444444,392,381,0.8711111111111111,0.9719387755102041,0.028061224489795866,1.0,0.9311111111111111
0.9,0.0,395,385,0.8777777777777778,0.9746835443037974,0.025316455696202556,1.0,0.94,389,379,0.8644444444444445,0.974293059125964,0.02570694087403602,1.0,0.9266666666666666
0.95,0.0,386,377,0.8577777777777778,0.9766839378238342,0.023316062176165775,1.0,0.9222222222222223,380,371,0.8444444444444444,0.9763157894736842,0.023684210526315752,1.0,0.9088888888888889
0.966,0.0,381,373,0.8466666666666667,0.979002624671916,0.02099737532808399,1.0,0.9133333333333333,375,367,0.8333333333333334,0.9786666666666667,0.021333333333333315,1.0,0.9
