model,role,case_count,ndcg_at_5,ndcg_at_10,top1_agreement,top3_overlap,recall_at_5,recall_at_10,top10_jaccard,predicted_top1_teacher_rank,execution_seconds
DeterministicBaselineV2,mdt,180,0.2625701549333726,0.3437475253324422,0.06111111111111111,0.11296296296296293,0.14777777777777779,0.2588888888888889,0.16622040479109623,20.266666666666666,5.518693200079724
DeterministicBaselineV2,ost,180,0.6635560214257854,0.6893673960765266,0.42777777777777776,0.5203703703703704,0.5788888888888889,0.6622222222222223,0.5434839464896224,13.694444444444445,3.789251099806279
